precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth,dataset
1.0,0.75,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.75,311_calls_historic_data
1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.5,abandoned_wells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,albums
1.0,0.3,0.4615384615384615,1.0,1.0,1.0,1.0,1.0,0.5,animal_tag_data
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,biodiversity
1.0,0.42857142857142855,0.6,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,cdc_nutrition_physical_activity_and_obesity_legislation
1.0,0.3,0.4615384615384615,1.0,1.0,0.75,0.6666666666666666,0.75,0.6,cihr_co-applicant
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complaint_by_practice
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,contributors_parties
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.16666666666666666,film_locations_in_san_francisco
1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.5,immigration_records
1.0,0.375,0.5454545454545454,1.0,1.0,1.0,1.0,1.0,0.375,ipopayments
1.0,0.2857142857142857,0.4444444444444445,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,job_pay_scales
1.0,0.75,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.75,lane_description
1.0,0.75,0.8571428571428571,1.0,0.5,0.6666666666666666,0.75,0.6,0.75,mines
1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,prescribing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,monthly_data_feed
1.0,0.3,0.4615384615384615,1.0,1.0,1.0,1.0,1.0,0.3,new_york_city_restaurant_inspection_results
1.0,0.4,0.5714285714285715,1.0,1.0,1.0,1.0,1.0,0.4,oil_and_gas_summary_production_data_1967_1999
1.0,0.3333333333333333,0.5,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,practice_reference
1.0,0.4,0.5714285714285715,1.0,1.0,1.0,1.0,1.0,0.6,psyckes_antipsychotic_polypharmacy_quality_indicators_beginning_2012
1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,purchasing_card
0.8,0.4444444444444444,0.5714285714285714,1.0,1.0,0.75,0.8,0.7142857142857143,0.5555555555555556,report_card_discipline_for_2015_16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,senior_officials_expenses
1.0,0.15789473684210525,0.2727272727272727,1.0,1.0,1.0,1.0,1.0,0.21052631578947367,stockport_contracts
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,time_spent_watching_vcr_movies
1.0,0.6,0.7499999999999999,1.0,1.0,1.0,1.0,1.0,0.8,tuition_assistance_program_tap_recipients
1.0,0.42857142857142855,0.6,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,wholesale_markets
0.4,0.23529411764705882,0.29629629629629634,0.07017543859649122,0.11764705882352941,0.10954063604240283,0.10353535353535354,0.08840864440078586,0.0784313725490196,miller2_horizontal_50_ec_ev
