precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth,dataset
1.0,0.625,0.7692307692307693,1.0,1.0,1.0,0.7142857142857143,0.6666666666666666,0.75,311_calls_historic_data
1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.7142857142857143,0.8333333333333334,abandoned_wells
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,albums
0.6666666666666666,0.4,0.5,0.5,0.75,0.6666666666666666,0.75,0.8,0.8,animal_tag_data
1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,biodiversity
1.0,0.5714285714285714,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,cdc_nutrition_physical_activity_and_obesity_legislation
1.0,0.7,0.8235294117647058,1.0,1.0,0.7142857142857143,0.6,0.6666666666666666,0.6,cihr_co-applicant
0.75,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.75,1.0,complaint_by_practice
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,contributors_parties
1.0,0.16666666666666666,0.2857142857142857,1.0,0.5,0.3333333333333333,0.5,0.6,0.5,film_locations_in_san_francisco
1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,immigration_records
1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.75,ipopayments
1.0,0.8571428571428571,0.923076923076923,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,job_pay_scales
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,lane_description
1.0,0.5,0.6666666666666666,1.0,1.0,0.6666666666666666,0.5,0.6,0.5,mines
1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,0.8333333333333334,0.5555555555555556,0.45454545454545453,0.8333333333333334,prescribing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,monthly_data_feed
1.0,0.6,0.7499999999999999,1.0,1.0,1.0,0.8333333333333334,0.875,0.7,new_york_city_restaurant_inspection_results
1.0,0.6,0.7499999999999999,1.0,1.0,1.0,1.0,1.0,0.8,oil_and_gas_summary_production_data_1967_1999
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.8333333333333334,practice_reference
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,psyckes_antipsychotic_polypharmacy_quality_indicators_beginning_2012
1.0,0.5555555555555556,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,purchasing_card
1.0,0.4444444444444444,0.6153846153846153,1.0,1.0,1.0,0.875,0.8,0.7777777777777778,report_card_discipline_for_2015_16
0.0,0.0,0.0,0.25,0.2,0.125,0.08695652173913043,0.06896551724137931,0.2222222222222222,senior_officials_expenses
1.0,0.8947368421052632,0.9444444444444444,1.0,0.8181818181818182,0.6111111111111112,0.52,0.53125,0.5789473684210527,stockport_contracts
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,time_spent_watching_vcr_movies
1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,tuition_assistance_program_tap_recipients
1.0,0.7142857142857143,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,wholesale_markets
0.8431372549019608,0.8431372549019608,0.8431372549019607,0.23636363636363636,0.1901840490797546,0.14391143911439114,0.11873350923482849,0.10472279260780287,0.23529411764705882,miller2_horizontal_50_ec_ev
